date,supplier,product_id,open_price,close_price,high_price,low_price,daily_return,rolling_avg_7d,volatility_7d
2025-12-23,CANMAKE-PERFECT-MULTI-EYES-308296,oomomo,15.0,15.0,15.0,15.0,0.0,15.0,0.0
2025-12-23,CANMAKE-PETIT-PALETTE-EYES-317472,oomomo,20.0,20.0,20.0,20.0,0.0,20.0,0.0
2025-12-23,DASIQUE-JUICY-DEWY-TINT-532588,oomomo,20.0,20.0,20.0,20.0,0.0,20.0,0.0
2025-12-23,DASIQUE-MELTING-CANDY-BALM-535053,oomomo,12.25,12.25,12.25,12.25,0.0,12.25,0.0
2025-12-23,DASIQUE-SHADOW-PALETTE-530638,oomomo,27.75,27.75,27.75,27.75,0.0,27.75,0.0
2025-12-23,MY-TEEN-ROMANTIC-COMEDY-SNAFU-CLIMAX-HACHIMAN-HIKIGAYA-NENDOROID-FIGURE-127609,oomomo,79.0,79.0,79.0,79.0,0.0,79.0,0.0
2025-12-23,ROM-ND-BARE-WATER-CUSHION-20G,kiyoko,26.0,26.0,26.0,26.0,0.0,26.0,0.0
2025-12-23,ROM-ND-BARE-WATER-TINT-4-5G,kiyoko,9.99,9.99,9.99,9.99,0.0,9.99,0.0
2025-12-23,ROM-ND-GLASTING-COLOR-GLOSS-4G,kiyoko,13.0,13.0,13.0,13.0,0.0,13.0,0.0
2025-12-23,ROM-ND-GLASTING-MELTING-BALM-3-5G-1,kiyoko,9.99,9.99,9.99,9.99,0.0,9.99,0.0
2025-12-23,ROM-ND-GLASTING-WATER-TINT-4G-1,kiyoko,9.99,9.99,9.99,9.99,0.0,9.99,0.0
2025-12-23,ROM-ND-JUICY-LASTING-TINT-5-5G,kiyoko,9.99,9.99,9.99,9.99,0.0,9.99,0.0
2025-12-23,ROM-ND-JUICY-ROLL-CHEEK-8-4G,kiyoko,15.0,15.0,15.0,15.0,0.0,15.0,0.0
2025-12-23,ROM-ND-LIP-MATE-PENCIL-0-5G,kiyoko,9.99,9.99,9.99,9.99,0.0,9.99,0.0
2025-12-23,ROM-ND-THE-JUICY-LASTING-TINT-3-5G-1,kiyoko,9.99,9.99,9.99,9.99,0.0,9.99,0.0
2025-12-23,ROM-ND-ZERO-MATTE-LIPSTICK-3G-1,kiyoko,9.99,9.99,9.99,9.99,0.0,9.99,0.0
