product_id,snapshot_date,cheapest_supplier,cheapest_price,most_expensive_supplier,most_expensive_price,price_spread,savings_pct,num_suppliers
AESTURA-ATOBARRIER-365-BODY-CREAM-250ML,2025-12-23,oliveyoung,48.28,oliveyoung,48.28,0.0,0.0,1
AESTURA-ATOBARRIER-365-BODY-LOTION-400ML,2025-12-23,oliveyoung,53.0,oliveyoung,53.0,0.0,0.0,1
AESTURA-ATOBARRIER-365-CREAM,2025-12-23,axiastation,47.99,axiastation,47.99,0.0,0.0,1
AESTURA-ATOBARRIER-365-CREAM-2-SIZES,2025-12-23,kiokii,51.99,kiokii,51.99,0.0,0.0,1
AESTURA-ATOBARRIER-365-CREAM-80ML,2025-12-23,komiko,26.79,oliveyoung,49.99,23.2,46.41,2
AESTURA-ATOBARRIER-365-CREAM-80ML-RENEWED,2025-12-23,kiyoko,37.99,kiyoko,37.99,0.0,0.0,1
AESTURA-ATOBARRIER-365-CREAM-MIST-120ML,2025-12-23,komiko,13.93,lamour,28.99,15.06,51.95,2
AESTURA-ATOBARRIER-365-CREAM-PLUS-90ML,2025-12-23,komiko,25.72,komiko,25.72,0.0,0.0,1
AESTURA-ATOBARRIER-365-CREAM-PLUS-90ML-1,2025-12-23,komiko,25.72,komiko,25.72,0.0,0.0,1
AESTURA-ATOBARRIER-365-HYDRO-ESSENCE-200ML,2025-12-23,oliveyoung,47.72,oliveyoung,47.72,0.0,0.0,1
AESTURA-ATOBARRIER-365-HYDRO-SOOTHING-CREAM,2025-12-23,oliveyoung,49.99,oliveyoung,49.99,0.0,0.0,1
AESTURA-ATOBARRIER-365-HYDRO-SOOTHING-CREAM-60ML,2025-12-23,komiko,24.64,axiastation,47.99,23.35,48.66,4
AESTURA-ATOBARRIER-365-HYDRO-SOOTHING-CREAM-60ML-COPY,2025-12-23,kiokii,55.99,kiokii,55.99,0.0,0.0,1
AESTURA-ATOBARRIER-365-LOTION-150ML,2025-12-23,oliveyoung,46.86,oliveyoung,46.86,0.0,0.0,1
AESTURA-ATOBARRIER-365-LOTION-150ML-SPECIAL-SET-+HYDRO-ESSENCE-25ML-+-CERA-HYAL-MOISTURE-AMPOULE-7ML,2025-12-23,oliveyoung,46.86,oliveyoung,46.86,0.0,0.0,1
AESTURA-ATOBARRIER-365-LOTION-2-SIZES,2025-12-23,kiokii,53.99,kiokii,53.99,0.0,0.0,1
★2025-AWARDS★-AESTURA-ATOBARRIER-365-CREAM-80ML-LIMITED-SET-+30ML+CERA-HYAL-AMPOULE-3ML,2025-12-23,oliveyoung,44.31,oliveyoung,44.31,0.0,0.0,1
